cog_hit	cog_description	cog_class	cog_class_description	hist_mean_sum_0328	hist_mean_sum_0403	hist_mean_sum_0423	hist_mean_sum_0531	hist_mean_sum_0619	hist_mean_sum_0705	hist_mean_sum_0709	hist_mean_sum_1001	hist_mean_sum_1004	hist_mean_sum_1028	hist_mean_sum_1123
COG0016	Phenylalanyl-tRNA synthetase alpha subunit	J	Translation, ribosomal structure and biogenesis 	4.9313909	14.5458914	4.0129442	24.0334483	23.7024037	10.5917205	2.6000818	45.0390381	25.3961817	4.6908884	91.2192567
COG0017	Aspartyl/asparaginyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis 	3.2565247	7.9048399	1.4710063	13.0679134	2.3103911	0.3575498	0.6695156	5.8073324	4.1946063	0.0	27.8974937
COG0018	Arginyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis 	7.4034356	20.4019007	1.0386199	37.3492558	37.6443084	21.1710618	6.7730797	42.9006207	18.7805973	14.2579901	115.0058409
COG0019	Diaminopimelate decarboxylase	E	Amino acid transport and metabolism 	5.6795514	27.5169188	2.8909709	55.1561604	62.4285331	36.4240031	7.0005755	78.5460435	38.4450956	25.7092661	160.8808754
COG0020	Undecaprenyl pyrophosphate synthase	I	Lipid transport and metabolism 	1.1001765	7.323221	1.966838	18.824905	14.348235	12.6213845	3.659354	27.6249158	12.3214121	7.0809058	70.8563597
COG0021	Transketolase	G	Carbohydrate transport and metabolism 	8.8202787	32.072811	4.8295734	30.2683475	67.2883216	18.4040828	9.3032406	65.7016131	22.7705574	15.8082872	121.8233065
COG0022	Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, beta subunit	C	Energy production and conversion 	3.9430649	7.5741784	5.5255655	23.9341154	0.7423365	0.628882	1.7092853	10.0213804	2.9153854	0.501292	25.6763186
COG0023	Translation initiation factor 1 (eIF-1/SUI1) and related proteins	J	Translation, ribosomal structure and biogenesis 	1.4498382	1.828479	1.5045045	4.6211796	0.0	0.7327326	0.0	0.9618355	0.6606607	0.0	14.0832541
COG0024	Methionine aminopeptidase	J	Translation, ribosomal structure and biogenesis 	1.0679824	7.2433259	3.2602166	12.5902833	15.6963582	15.2790177	1.1186611	23.8306289	16.4463512	7.4637704	64.958691
COG0025	NhaP-type Na+/H+ and K+/H+ antiporters	P	Inorganic ion transport and metabolism 	0.0	3.4966929	0.2165571	9.5350868	1.1008771	0.0	0.2752192	0.5504386	1.1912143	0.2752193	2.9937004
COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	F	Nucleotide transport and metabolism 	4.9232626	7.9521141	2.0120667	27.3200988	12.4456248	7.5548677	1.8466093	10.7277298	3.9197001	5.1891645	35.5702729
COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	F	Nucleotide transport and metabolism 	0.6301296	6.7741581	0.8476668	14.1830106	15.5424	0.079922	0.1216667	5.4490012	2.7302657	1.398464	16.7861846
COG0028	Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]	EH	Multiple classes	8.7473662	38.5158329	6.9326634	37.0911417	63.3501247	22.4319925	7.2402065	90.0374704	36.0279321	20.5327378	170.0828729
COG0029	Aspartate oxidase	H	Coenzyme transport and metabolism 	1.4502413	7.4364761	0.5161077	16.8415769	21.9813491	6.7655178	1.8580858	22.2104377	8.290418	6.2539233	28.5593623
COG0030	Dimethyladenosine transferase (rRNA methylation)	J	Translation, ribosomal structure and biogenesis 	2.754913	9.6190424	1.7465173	21.565763	19.4006469	9.0083519	3.3496528	33.2084205	13.1725523	9.0791261	62.4833225
COG0031	Cysteine synthase	E	Amino acid transport and metabolism 	6.1448944	16.6132458	2.9795324	19.1083151	27.5638918	22.53184	6.9408184	53.1848725	24.3231572	30.8112899	126.5598454
COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	F	Nucleotide transport and metabolism 	4.4741852	20.1484776	1.3642315	30.8891395	25.1627413	12.7286132	3.7635553	40.555938	12.0088189	8.7577034	106.5424736
COG0035	Uracil phosphoribosyltransferase	F	Nucleotide transport and metabolism 	1.0509259	6.5759716	2.4008429	1.4952185	2.943662	6.532949	0.0876369	14.3088083	6.3427125	4.9295777	26.5368661
COG0036	Pentose-5-phosphate-3-epimerase	G	Carbohydrate transport and metabolism 	3.3732776	29.352791	3.1642982	30.8445408	38.9186482	11.4087814	2.2772727	41.8155799	10.7847841	3.427626	80.1101434
COG0037	Predicted ATPase of the PP-loop superfamily implicated in cell cycle control	D	Cell cycle control, cell division, chromosome partitioning 	3.3268201	10.6780123	1.6627385	36.0819344	37.694537	16.9018605	5.9932223	44.3873917	17.2564663	12.6739916	94.2255019
COG0038	Chloride channel protein EriC	P	Inorganic ion transport and metabolism 	0.832235	2.2008979	1.8215488	7.9363958	1.1120459	0.0	0.0	1.3010213	0.0	0.2076503	3.0438189
COG0039	Malate/lactate dehydrogenases	C	Energy production and conversion 	6.7809373	17.6785464	2.7880536	25.2231556	35.8209268	16.5817247	3.9977525	45.5508887	20.1916332	13.1141133	110.0677696
COG0040	ATP phosphoribosyltransferase	E	Amino acid transport and metabolism 	6.2196833	8.2920219	3.1968271	18.1129586	17.4041041	12.1198692	3.3322373	20.1091608	11.2207486	7.6204472	60.4126063
COG0041	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	F	Nucleotide transport and metabolism 	2.5676953	8.0769212	0.0	12.734564	9.8303979	4.2197556	1.7194237	19.2116288	6.0768303	2.032922	43.6262946
COG0042	tRNA-dihydrouridine synthase	J	Translation, ribosomal structure and biogenesis 	2.7397225	14.5613985	2.9744338	30.2547849	28.0543976	7.3950724	2.6808821	30.0061635	13.8225005	2.6824431	56.2977389
COG0043	3-polyprenyl-4-hydroxybenzoate decarboxylase and related decarboxylases	H	Coenzyme transport and metabolism 	1.8418145	9.1155403	0.2207564	4.9897955	2.2050065	0.2014072	0.0	3.7369226	0.8782785	0.0	30.3174851
COG0044	Dihydroorotase and related cyclic amidohydrolases	F	Nucleotide transport and metabolism 	1.6531322	23.4255648	3.6653981	37.8035987	40.0208152	24.7901319	7.4636162	66.5793467	27.049606	8.5712973	155.131747
COG0045	Succinyl-CoA synthetase, beta subunit	C	Energy production and conversion 	4.0183353	17.6897448	2.2935433	24.3499483	31.6795822	20.8866641	3.4394597	56.9838013	24.0791429	14.1431407	109.2634549
COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	F	Nucleotide transport and metabolism 	1.6616152	12.8059732	0.697388	31.3082567	26.0420159	8.9251714	0.7256938	30.7426494	14.8430725	3.0282076	74.9302623
COG0047	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	F	Nucleotide transport and metabolism 	0.3666921	9.559831	0.8391178	5.6541789	4.9777572	1.2307535	1.4718018	10.5302371	1.2522917	0.0	38.8107807
COG0048	Ribosomal protein S12	J	Translation, ribosomal structure and biogenesis 	4.6126961	15.1128609	3.6276243	29.6190678	23.3506961	15.7505829	7.841097	45.7641422	14.3299517	14.2005275	72.1458215
COG0049	Ribosomal protein S7	J	Translation, ribosomal structure and biogenesis 	1.9150743	20.817566	2.4118898	16.2179545	21.5106244	14.2116555	4.4522182	49.066318	14.9466794	14.3248338	87.0265102
COG0050	GTPases - translation elongation factors	J	Translation, ribosomal structure and biogenesis 	6.1556223	21.900897	3.5868539	26.1531216	34.8383884	17.2144992	5.3427352	57.6946942	22.3505531	12.5631967	106.2403198
COG0051	Ribosomal protein S10	J	Translation, ribosomal structure and biogenesis 	4.97183	17.2087721	1.268484	32.0410512	36.5553451	15.4527335	1.579288	53.170388	18.4502885	8.0428438	84.7747625
COG0052	Ribosomal protein S2	J	Translation, ribosomal structure and biogenesis 	3.5237257	23.9324834	2.963931	19.4517611	23.544845	11.6923148	3.5470936	35.7332802	17.5905533	7.253522	81.1174974
COG0053	Predicted Co/Zn/Cd cation transporters	P	Inorganic ion transport and metabolism 	4.2509223	11.621992	2.0059219	9.7584492	20.8465673	1.3072916	0.4010418	3.6279181	1.6588541	0.0	19.1614905
COG0054	Riboflavin synthase beta-chain	H	Coenzyme transport and metabolism 	0.9915074	13.8215958	1.1208053	21.7742801	20.4163897	13.2596359	4.2398743	37.7170833	13.7644728	8.5568955	105.0244645
COG0055	F0F1-type ATP synthase, beta subunit	C	Energy production and conversion 	7.8024828	43.3940637	6.124574	43.0229648	47.5545591	26.1024092	8.7480979	94.1104036	44.9250413	15.9669719	164.0295327
COG0056	F0F1-type ATP synthase, alpha subunit	C	Energy production and conversion 	10.6364733	56.0456272	4.5135604	33.6573933	50.1549277	30.3587403	10.3088321	76.9902734	30.1873492	20.7350119	152.8963306
COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	G	Carbohydrate transport and metabolism 	0.8319584	18.000016	3.1498064	34.6912373	31.8772425	19.0021197	2.8056391	53.8503922	25.0266105	11.8155122	93.627765
COG0059	Ketol-acid reductoisomerase	EH	Multiple classes	1.4167297	15.5733211	2.9919562	32.7221005	31.9886446	6.805847	11.5478694	36.0060094	16.3076058	5.9313373	92.8608808
COG0060	Isoleucyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis 	9.3279306	33.6825968	5.3895668	36.4886191	47.1116548	29.3650042	3.8433791	70.8287093	33.6688957	20.5924523	154.7330656
COG0061	Predicted sugar kinase	G	Carbohydrate transport and metabolism 	4.0716912	7.1750093	0.5790081	14.6057205	17.8893051	8.7673103	4.0478572	28.7247019	9.6355435	7.4373696	70.0297155
COG0062	Uncharacterized conserved protein	S	Function unknown 	0.0	1.1942256	0.0	0.0	0.0	0.0	0.0	2.136483	0.0	0.0	6.5826774
COG0063	Predicted sugar kinase	G	Carbohydrate transport and metabolism 	0.0	1.6724738	0.5923345	2.3414632	9.5953738	1.9355766	1.6322263	11.9779298	3.5133567	2.2175835	17.9677949
COG0064	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (PET112 homolog)	J	Translation, ribosomal structure and biogenesis 	3.6373412	18.152629	1.1556782	23.6604328	40.0234705	24.0135384	7.7760008	56.244855	17.7372554	11.1453329	121.629161
COG0065	3-isopropylmalate dehydratase large subunit	E	Amino acid transport and metabolism 	6.5236903	32.1865016	2.5579243	38.5803232	47.9347915	25.6666733	4.9330187	76.6049497	22.7986271	12.2051109	142.6021087
COG0066	3-isopropylmalate dehydratase small subunit	E	Amino acid transport and metabolism 	6.9268284	20.664042	3.920792	33.3926019	32.2327408	15.5617309	4.7442785	36.8433423	12.280039	9.5566128	103.1750551
COG0067	Glutamate synthase domain 1	E	Amino acid transport and metabolism 	2.256015	9.8268969	1.3051102	25.1202806	22.7960733	9.7273909	1.6321188	43.7512353	16.2280536	5.743539	81.269781
COG0069	Glutamate synthase domain 2	E	Amino acid transport and metabolism 	4.0641519	19.1895157	2.2746249	19.1814731	29.8036066	19.1517532	5.6052718	54.5246466	26.8571411	10.0338963	128.9607899
COG0070	Glutamate synthase domain 3	E	Amino acid transport and metabolism 	1.4103508	9.5873471	1.8634215	17.9314418	19.8057065	10.0951479	8.2937759	31.6200131	8.5776404	6.6953996	83.7819195
COG0071	Molecular chaperone (small heat shock protein)	O	Posttranslational modification, protein turnover, chaperones 	0.0	5.4109647	0.0	23.8607025	16.011641	6.8593267	1.5386757	29.9816303	8.1192325	4.3572766	52.34192
COG0072	Phenylalanyl-tRNA synthetase beta subunit	J	Translation, ribosomal structure and biogenesis 	3.5848277	20.9518161	5.161124	29.607464	41.4297848	18.104333	4.4287497	57.4385677	20.396196	12.0779163	107.9689723
COG0073	EMAP domain	R	General function prediction only 	1.9674481	6.2260525	3.7851524	12.4598914	21.5787183	5.570771	7.2135826	17.572402	8.710101	0.3040936	46.8389036
COG0074	Succinyl-CoA synthetase, alpha subunit	C	Energy production and conversion 	2.6049316	14.9044572	1.5543114	15.4547491	23.3451623	11.3303774	2.3038302	37.4928753	18.943973	7.0964558	97.4486861
COG0075	Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase	E	Amino acid transport and metabolism 	0.0	1.3067145	0.0	1.9515867	3.3120235	0.5933806	1.0709219	8.3901082	2.0856834	2.0520095	10.9944728
COG0076	Glutamate decarboxylase and related PLP-dependent proteins	E	Amino acid transport and metabolism 	1.0379285	0.5856598	0.0255288	13.5480744	8.4506601	6.1266665	5.190933	10.1896435	7.0123486	5.7107338	15.291492
COG0077	Prephenate dehydratase	E	Amino acid transport and metabolism 	3.2503284	18.4731955	0.2923649	30.5439408	40.1379989	15.8686443	2.6266238	49.8889233	14.5403268	3.4689653	98.7048827
COG0078	Ornithine carbamoyltransferase	E	Amino acid transport and metabolism 	1.7696619	15.5738136	1.5785405	30.6886626	32.3948267	12.0679676	1.6222946	41.6296188	14.9488523	9.734792	88.7972394
COG0079	Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase	E	Amino acid transport and metabolism 	2.8572528	12.9838756	2.7248218	29.9318738	32.9295148	14.851943	4.5720809	35.3470138	9.4788621	15.6552476	83.6882021
COG0080	Ribosomal protein L11	J	Translation, ribosomal structure and biogenesis 	4.7453232	16.1610524	0.370115	18.1886733	20.9641771	14.323304	2.7354201	40.7720131	12.4869269	13.0679409	77.7099421
COG0081	Ribosomal protein L1	J	Translation, ribosomal structure and biogenesis 	2.1753353	19.0878347	5.5504442	15.0531054	31.5217167	9.4119226	3.3908384	41.1016973	8.6729693	10.358044	84.6582256
COG0082	Chorismate synthase	E	Amino acid transport and metabolism 	2.6753644	15.7640073	3.3638211	20.9124019	29.1421864	11.205778	1.9687993	37.7580598	13.001906	6.6285693	103.8858566
COG0083	Homoserine kinase	E	Amino acid transport and metabolism 	0.5350593	2.8951161	0.0	8.9585337	6.3737258	9.1193963	3.4240837	18.6267747	10.0961731	9.0741555	42.5391453
COG0084	Mg-dependent DNase	L	Replication, recombination and repair 	4.0675087	16.0823532	2.3277452	15.8318662	18.1944315	7.3431464	2.56839	28.6611464	22.8220214	9.3235935	82.2820236
COG0085	DNA-directed RNA polymerase, beta subunit/140 kD subunit	K	Transcription 	7.9444486	46.7659685	5.0717419	40.8159578	41.4498166	24.8536448	7.6471432	67.794551	23.8750332	15.1742231	141.3523106
COG0086	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	K	Transcription 	8.4212654	40.7208948	4.9140595	53.1885955	37.0024463	29.4624583	5.8490287	71.0202047	31.8431538	15.4578613	170.8466661
COG0087	Ribosomal protein L3	J	Translation, ribosomal structure and biogenesis 	5.0333103	10.0747319	1.5188756	12.5853365	22.669191	15.4471765	3.7895998	39.1571452	20.6630726	14.9207783	88.8192884
COG0088	Ribosomal protein L4	J	Translation, ribosomal structure and biogenesis 	3.2001046	8.7368474	2.4292358	20.5440047	19.3370919	15.243592	1.8051732	32.6258101	13.8815249	18.0100456	79.2064743
COG0089	Ribosomal protein L23	J	Translation, ribosomal structure and biogenesis 	4.2030745	15.7737151	0.1518519	22.6283828	23.5393245	22.5371397	3.7073602	40.9723583	18.6609461	18.3920423	81.6432577
COG0090	Ribosomal protein L2	J	Translation, ribosomal structure and biogenesis 	6.6014454	30.10046	5.9728486	30.9047069	36.9815369	16.6617519	6.7816911	50.9084137	20.7081582	16.293035	104.974399
COG0091	Ribosomal protein L22	J	Translation, ribosomal structure and biogenesis 	0.156906	8.2476955	0.6618005	24.3416612	11.9836058	11.6778132	3.2684086	29.2846184	16.4458858	13.2012991	54.545334
COG0092	Ribosomal protein S3	J	Translation, ribosomal structure and biogenesis 	2.7133019	21.2822261	1.3175413	20.9781589	19.8789654	17.3580787	5.8834101	54.6134975	18.4613916	24.4156681	78.2881275
COG0093	Ribosomal protein L14	J	Translation, ribosomal structure and biogenesis 	3.8636039	12.8661245	0.5472222	17.114552	10.4511092	10.2710701	6.640589	38.5222722	13.4807839	11.6476962	73.9408765
COG0094	Ribosomal protein L5	J	Translation, ribosomal structure and biogenesis 	6.0188736	22.8387462	1.9982733	22.370673	21.7601634	16.0925487	1.6324326	25.5046719	13.4703641	17.2602921	71.487728
COG0095	Lipoate-protein ligase A	H	Coenzyme transport and metabolism 	0.3333333	0.759091	0.0	0.0	0.0	0.6166667	0.0	1.6848486	0.1060605	1.0909092	3.6287879
COG0096	Ribosomal protein S8	J	Translation, ribosomal structure and biogenesis 	8.5253687	27.9533196	2.0348257	18.4367548	26.9231758	8.2243279	3.5732848	38.1130491	12.4324729	17.292287	72.194675
COG0097	Ribosomal protein L6P/L9E	J	Translation, ribosomal structure and biogenesis 	5.0041162	18.2616763	2.2094232	11.3586633	31.0037963	16.9050786	1.0468271	42.7680589	16.9808445	22.5409111	86.0809
COG0098	Ribosomal protein S5	J	Translation, ribosomal structure and biogenesis 	2.7971789	12.7593423	1.2876552	4.2784204	13.6954151	8.5655216	3.2791464	39.3210728	16.9857892	10.6929651	73.0528175
COG0099	Ribosomal protein S13	J	Translation, ribosomal structure and biogenesis 	5.1725435	20.8086905	1.4325003	25.09607	41.7712409	19.9937495	5.8404428	56.1782973	17.6055414	12.9561084	105.580746
COG0100	Ribosomal protein S11	J	Translation, ribosomal structure and biogenesis 	5.2772412	22.6939688	4.8874786	19.4706211	27.6992425	24.2230318	2.5945228	44.6318462	20.8235306	9.6899169	108.6101506
COG0101	Pseudouridylate synthase	J	Translation, ribosomal structure and biogenesis 	3.8435321	14.3013384	0.8333333	40.779149	37.1151533	17.3186198	2.3625404	38.9418548	18.8740014	12.7819059	90.6505571
COG0102	Ribosomal protein L13	J	Translation, ribosomal structure and biogenesis 	2.6730012	17.603997	0.9135909	24.337655	32.0659422	18.8320605	3.5695757	36.8489764	16.5963604	11.9546931	100.9024849
COG0103	Ribosomal protein S9	J	Translation, ribosomal structure and biogenesis 	3.4515956	25.4731386	6.1730071	33.711224	42.1426226	23.8225166	4.808897	49.4243948	19.9063715	7.1919367	102.7538711
COG0104	Adenylosuccinate synthase	F	Nucleotide transport and metabolism 	3.5924383	24.5861735	3.7736959	21.3400713	38.6250536	10.1106344	3.2984936	37.9115829	16.9331318	5.879091	101.0370041
COG0105	Nucleoside diphosphate kinase	F	Nucleotide transport and metabolism 	1.3334215	10.7004802	0.1753086	9.9381358	20.8485322	14.6465717	6.750465	38.7852265	10.1662482	8.2695318	61.7685193
COG0106	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	E	Amino acid transport and metabolism 	1.825757	20.2787193	4.7327163	25.6622784	32.5242664	14.9552535	4.6005302	44.9264171	10.7176637	11.2554888	90.0072038
COG0107	Imidazoleglycerol-phosphate synthase	E	Amino acid transport and metabolism 	3.077724	26.1681026	3.0073273	21.5482962	40.5970783	11.0365923	2.4061521	55.00909	20.4782206	9.3708951	107.0135566
COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase	H	Coenzyme transport and metabolism 	3.1006296	17.8266004	2.7036793	21.4722204	30.8181287	13.2602341	3.5434947	40.8911888	14.2124607	13.9286142	97.2672697
COG0109	Polyprenyltransferase (cytochrome oxidase assembly factor)	O	Posttranslational modification, protein turnover, chaperones 	3.8035108	17.6215848	2.0490341	23.8158294	29.8672486	18.8872838	2.86677	53.7223202	21.558041	18.0386749	82.4918344
COG0110	Acetyltransferase (isoleucine patch superfamily)	R	General function prediction only 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5422426	0.0	0.0	5.450077
COG0111	Phosphoglycerate dehydrogenase and related dehydrogenases	HE	Multiple classes	5.9254691	31.4181921	6.7712678	63.8106833	62.4881911	32.552341	8.1745411	95.8782206	37.3865389	12.1087595	194.8285022
COG0112	Glycine/serine hydroxymethyltransferase	E	Amino acid transport and metabolism 	2.3204994	16.1300002	2.5023266	23.5256011	29.6206784	16.1496282	4.7395367	44.5356822	17.0896046	10.1184203	88.1438382
COG0113	Delta-aminolevulinic acid dehydratase	H	Coenzyme transport and metabolism 	2.2183302	11.8870469	0.0	17.7655089	21.7990414	13.5327459	2.6267003	30.5103923	13.5750691	5.1049187	77.3744351
COG0114	Fumarase	C	Energy production and conversion 	1.5334703	14.8177411	2.1491369	21.8643328	36.484149	10.7287448	2.5205676	34.6482821	10.1683622	8.0325323	65.0472442
COG0115	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	EH	Multiple classes	6.8850981	54.4419246	6.1456648	54.292056	62.1372815	28.1027314	6.7723728	91.2460476	32.6680085	24.6375698	202.0344073
COG0116	Predicted N6-adenine-specific DNA methylase	L	Replication, recombination and repair 	0.681881	9.3192817	1.1422599	8.6362685	0.8963753	0.4070176	0.2019365	6.0325742	2.0194061	0.8456948	13.5321487
COG0117	Pyrimidine deaminase	H	Coenzyme transport and metabolism 	1.9370822	11.1204789	1.0918272	23.690342	30.0193589	9.8804211	0.9926538	26.3029771	12.3288406	9.44979	66.4299932
COG0118	Glutamine amidotransferase	E	Amino acid transport and metabolism 	4.5945608	17.6873332	1.9308177	20.737583	23.8124704	10.0738623	3.5691742	25.8021102	8.644433	8.2436272	66.7867153
COG0119	Isopropylmalate/homocitrate/citramalate synthases	E	Amino acid transport and metabolism 	6.06815	35.8070909	3.9477548	59.9155305	74.6983142	29.6895645	7.6739159	94.6915172	34.4158628	17.0192652	225.1640134
COG0120	Ribose 5-phosphate isomerase	G	Carbohydrate transport and metabolism 	0.5906433	5.5444615	0.3666667	4.0820307	11.9910088	0.9692483	0.3629284	15.6690185	2.7886297	1.0404984	29.7359745
COG0121	Predicted glutamine amidotransferase	R	General function prediction only 	0.0	0.6829932	0.3931973	0.6829932	0.3238095	6.0802723	1.9823129	8.4625841	4.1904769	3.7115639	15.9836739
COG0122	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase	L	Replication, recombination and repair 	0.2570221	10.3448345	1.9974937	9.8835125	27.6859177	15.7944671	8.1392368	28.8276903	12.8521511	9.6746441	74.2302297
COG0123	Deacetylases, including yeast histone deacetylase and acetoin utilization protein	BQ	Multiple classes	4.1062635	20.4819674	2.5567575	21.4570937	31.1446273	16.8848831	3.1250035	41.1466699	8.5467428	9.1238229	80.5060993
COG0124	Histidyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis 	2.9877961	15.566551	3.120295	12.1407194	31.6650957	18.313715	4.2779635	69.3809136	21.8553993	15.6178514	123.0339593
COG0125	Thymidylate kinase	F	Nucleotide transport and metabolism 	1.0618143	7.4589083	0.0597484	21.3063273	16.0531683	14.2003563	7.9000928	37.5982378	9.8272675	7.577971	57.0846567
COG0126	3-phosphoglycerate kinase	G	Carbohydrate transport and metabolism 	2.5151354	12.0055972	1.4738034	21.8675963	28.945302	12.1371661	4.1989951	48.8561263	20.2017104	13.0525195	87.7462738
COG0127	Xanthosine triphosphate pyrophosphatase	F	Nucleotide transport and metabolism 	2.2836837	11.5052299	1.5195336	24.2183908	21.9284981	15.0526354	3.6568216	32.5961941	10.7050042	14.8691409	79.7268664
COG0128	5-enolpyruvylshikimate-3-phosphate synthase	E	Amino acid transport and metabolism 	1.3895301	7.4467863	1.0837921	20.8687915	27.3977479	19.6641112	4.649226	52.4855014	24.8017072	20.2270809	119.0764329
COG0129	Dihydroxyacid dehydratase/phosphogluconate dehydratase	EG	Multiple classes	4.036599	27.0887174	5.5259464	46.6199893	61.4388345	34.9213528	7.3168929	89.3058048	31.4629698	19.8891478	189.9046193
COG0130	Pseudouridine synthase	J	Translation, ribosomal structure and biogenesis 	7.8784543	12.4682886	4.82927	22.301184	26.6241408	6.1845534	4.2455298	28.0248539	14.6398979	5.9036458	70.1124778
COG0131	Imidazoleglycerol-phosphate dehydratase	E	Amino acid transport and metabolism 	2.8694067	20.0711944	3.9117503	22.0561549	30.0077424	11.3014499	3.0489977	45.6566492	10.2826803	5.9622272	67.0326513
COG0132	Dethiobiotin synthetase	H	Coenzyme transport and metabolism 	0.5268293	0.6202531	0.5907173	0.0268199	1.0919539	0.0	0.0	2.0965614	1.186539	0.0	9.2230217
COG0133	Tryptophan synthase beta chain	E	Amino acid transport and metabolism 	0.3855722	12.0178472	1.6527945	29.2670989	25.138902	10.2554068	4.7661696	38.3283587	11.7957362	10.3061466	90.697098
COG0134	Indole-3-glycerol phosphate synthase	E	Amino acid transport and metabolism 	0.0	10.7301153	1.322227	31.081666	23.2590758	6.1672255	3.2236197	32.2922527	9.7534378	9.6371396	63.7501105
COG0135	Phosphoribosylanthranilate isomerase	E	Amino acid transport and metabolism 	2.1624276	11.3210819	0.0	24.8487293	30.8028373	4.3485893	0.5935959	25.7355192	10.3552506	1.5832767	61.633212
COG0136	Aspartate-semialdehyde dehydrogenase	E	Amino acid transport and metabolism 	2.3746872	23.3012923	1.8004092	27.1177088	26.7850931	12.0251199	3.6645488	30.4518964	15.2044407	6.3919672	74.5986502
